Status,Qtde Ocorrencias,Qtde Itens,Tempo Medio (dias),Tempo Mediano (dias),P85 (dias),P95 (dias)
Cancelled,98,98,152.8464,62.115,395.7685,548.0324
To Do,10,10,66.8131,92.2126,92.232,92.2418
Backlog,143,131,30.2608,0.6282,16.1944,95.6867
Ready to Homologation,6,6,27.7273,27.779,55.2684,55.2685
Done,5,5,19.3224,1.0052,38.7852,72.9982
Triagem,51,49,12.1891,15.0785,15.0787,15.0788
Homologation,27,27,11.0312,10.1612,31.3402,32.7667
Production,23,23,9.795,0.0007,33.7831,33.7832
Homolog,501,500,9.0267,2.8559,19.8579,45.9399
Ready for Staging,28,24,7.9548,6.3661,13.7256,24.0378
Ready to Design,1,1,6.9641,6.9641,6.9641,6.9641
Approval,11,11,5.6541,6.895,8.3737,10.312
In Progress,715,700,5.4874,2.0281,9.7197,17.309
QA Approved Hml,530,527,4.9982,1.7581,11.0122,23.8399
In Staging,71,60,4.9141,5.8608,6.9232,14.2631
Ready to Homolog,499,498,4.7324,1.5695,10.2789,18.8042
Ready to Analytics,14,14,4.6285,0.0538,12.0061,17.0934
QA Approved,112,111,4.4168,5.2226,6.7252,8.6663
In Validation,41,41,4.0664,0.9415,9.5965,12.9874
Tech Review,1,1,3.8647,3.8647,3.8647,3.8647
Ready To Staging,740,694,3.4099,0.0005,5.0228,19.337
In Development,132,130,2.915,0.2053,3.0253,7.9551
READY FOR TESTING/QA,56,53,2.8277,0.9747,6.5174,9.1292
Staging,779,747,2.5887,0.9765,4.329,10.2722
READY FOR DEVELOPMENT,62,61,2.3507,0.062,5.5771,12.185
In Backlog,1,1,2.0931,2.0931,2.0931,2.0931
in analytics,137,136,1.8451,0.0004,1.9741,5.3959
In Progess,65,57,1.837,0.9226,4.9029,6.6356
Ready for Production,775,771,1.54,0.4809,3.932,7.7486
Testing / QA,47,44,1.4616,0.0008,5.9747,5.9748
QA Approved Staging,578,576,1.3222,0.5209,2.9406,4.8719
CODE REVIEW,63,55,0.9581,0.0171,2.1226,4.6424
Ready for code review,63,55,0.2409,0.0,0.2151,1.3431
ready for homolog,12,12,0.2114,0.2114,0.2114,0.2114
Prioritized,12,12,0.0032,0.0032,0.0032,0.0032
Backlog do Produto,1,1,0.0029,0.0029,0.0029,0.0029
Ready for build,1,1,0.0,0.0,0.0,0.0
